Market,Selection,Bet Type,Max Size,Min Size
Match Odds,Hearts,Back,15.12,0.0
Match Odds,Tottenham,Back,635.33,0.0
Match Odds,Draw,Back,73.89,0.0
Match Odds,Hearts,Lay,958.16,0.0
Match Odds,Tottenham,Lay,88.24,0.0
Match Odds,Draw,Lay,356.94,0.0
Over/Under 1.5 Goals,Under 1.5 Goals,Back,55.7,0.0
Over/Under 1.5 Goals,Over 1.5 Goals,Back,399.29,0.0
Over/Under 1.5 Goals,Under 1.5 Goals,Lay,619.19,0.0
Over/Under 1.5 Goals,Over 1.5 Goals,Lay,123.79,0.0
Over/Under 6.5 Goals,Under 6.5 Goals,Back,1.01,0.0
Over/Under 6.5 Goals,Over 6.5 Goals,Back,14.06,0.0
Over/Under 6.5 Goals,Under 6.5 Goals,Lay,2.71,0.0
Over/Under 6.5 Goals,Over 6.5 Goals,Lay,1008.99,0.0
Both teams to Score?,Yes,Back,276.95,0.0
Both teams to Score?,No,Back,440.67,0.0
Both teams to Score?,Yes,Lay,913.64,0.0
Both teams to Score?,No,Lay,134.75,0.0
Over/Under 5.5 Goals,Under 5.5 Goals,Back,680.69,0.0
Over/Under 5.5 Goals,Over 5.5 Goals,Back,18.25,0.0
Over/Under 5.5 Goals,Under 5.5 Goals,Lay,1.15,0.0
Over/Under 5.5 Goals,Over 5.5 Goals,Lay,828.9,0.0
Over/Under 4.5 Goals,Under 4.5 Goals,Back,814.63,0.0
Over/Under 4.5 Goals,Over 4.5 Goals,Back,52.53,0.0
Over/Under 4.5 Goals,Under 4.5 Goals,Lay,169.91,0.0
Over/Under 4.5 Goals,Over 4.5 Goals,Lay,189.0,0.0
Over/Under 8.5 Goals,Under 8.5 Goals,Back,1.01,0.0
Over/Under 8.5 Goals,Over 8.5 Goals,Back,15.12,0.0
Over/Under 8.5 Goals,Under 8.5 Goals,Lay,8.27,0.0
Over/Under 8.5 Goals,Over 8.5 Goals,Lay,1008.99,0.0
Over/Under 3.5 Goals,Under 3.5 Goals,Back,366.26,0.0
Over/Under 3.5 Goals,Over 3.5 Goals,Back,17.0,0.0
Over/Under 3.5 Goals,Under 3.5 Goals,Lay,17.1,0.0
Over/Under 3.5 Goals,Over 3.5 Goals,Lay,182.9,0.0
Over/Under 2.5 Goals,Under 2.5 Goals,Back,166.79,0.0
Over/Under 2.5 Goals,Over 2.5 Goals,Back,59.0,0.0
Over/Under 2.5 Goals,Under 2.5 Goals,Lay,158.03,0.0
Over/Under 2.5 Goals,Over 2.5 Goals,Lay,58.8,0.0
Over/Under 7.5 Goals,Under 7.5 Goals,Back,1.01,0.0
Over/Under 7.5 Goals,Over 7.5 Goals,Back,14.93,0.0
Over/Under 7.5 Goals,Under 7.5 Goals,Lay,5.37,0.0
Over/Under 7.5 Goals,Over 7.5 Goals,Lay,1008.99,0.0
Correct Score,'0-0',Back,38.48,0.0
Correct Score,'0-1',Back,92.51,0.0
Correct Score,'0-2',Back,25.15,0.0
Correct Score,'0-3',Back,65.16,0.0
Correct Score,'1-0',Back,38.48,0.0
Correct Score,'1-1',Back,35.45,0.0
Correct Score,'1-2',Back,33.72,0.0
Correct Score,'1-3',Back,24.57,0.0
Correct Score,'2-0',Back,38.48,0.0
Correct Score,'2-1',Back,11.02,0.0
Correct Score,'2-2',Back,13.1,0.0
Correct Score,'2-3',Back,12.71,0.0
Correct Score,'3-0',Back,38.48,0.0
Correct Score,'3-1',Back,42.54,0.0
Correct Score,'3-2',Back,42.48,0.0
Correct Score,'3-3',Back,42.3,0.0
Correct Score,Any Other Home Win,Back,38.48,0.0
Correct Score,Any Other Away Win,Back,62.6,0.0
Correct Score,Any Other Draw,Back,10.31,0.0
Correct Score,'0-0',Lay,1008.99,0.0
Correct Score,'0-1',Lay,187.97,0.0
Correct Score,'0-2',Lay,323.86,0.0
Correct Score,'0-3',Lay,594.02,0.0
Correct Score,'1-0',Lay,1008.99,0.0
Correct Score,'1-1',Lay,661.32,0.0
Correct Score,'1-2',Lay,327.96,0.0
Correct Score,'1-3',Lay,629.68,0.0
Correct Score,'2-0',Lay,1008.99,0.0
Correct Score,'2-1',Lay,675.51,0.0
Correct Score,'2-2',Lay,871.43,0.0
Correct Score,'2-3',Lay,720.76,0.0
Correct Score,'3-0',Lay,1008.99,0.0
Correct Score,'3-1',Lay,691.74,0.0
Correct Score,'3-2',Lay,687.16,0.0
Correct Score,'3-3',Lay,694.26,0.0
Correct Score,Any Other Home Win,Lay,1008.99,0.0
Correct Score,Any Other Away Win,Lay,334.8,0.0
Correct Score,Any Other Draw,Lay,1008.99,0.0
Asian Handicap,Hearts -4.0,Back,4.16,0.0
Asian Handicap,Tottenham +4.0,Back,1.01,0.0
Asian Handicap,Hearts -3.5 & -4.0,Back,4.16,0.0
Asian Handicap,Tottenham +3.5 & +4.0,Back,1.01,0.0
Asian Handicap,Hearts -3.5,Back,4.16,0.0
Asian Handicap,Tottenham +3.5,Back,1.01,0.0
Asian Handicap,Hearts -3.0 & -3.5,Back,4.16,0.0
Asian Handicap,Tottenham +3.0 & +3.5,Back,1.01,0.0
Asian Handicap,Hearts -3.0,Back,4.16,0.0
Asian Handicap,Tottenham +3.0,Back,1.01,0.0
Asian Handicap,Hearts -2.5 & -3.0,Back,4.16,0.0
Asian Handicap,Tottenham +2.5 & +3.0,Back,1.01,0.0
Asian Handicap,Hearts -2.5,Back,4.16,0.0
Asian Handicap,Tottenham +2.5,Back,1.01,0.0
Asian Handicap,Hearts -2.0 & -2.5,Back,4.16,0.0
Asian Handicap,Tottenham +2.0 & +2.5,Back,1.01,0.0
Asian Handicap,Hearts -2.0,Back,4.16,0.0
Asian Handicap,Tottenham +2.0,Back,1.01,0.0
Asian Handicap,Hearts -1.5 & -2.0,Back,4.16,0.0
Asian Handicap,Tottenham +1.5 & +2.0,Back,1.01,0.0
Asian Handicap,Hearts -1.5,Back,8.72,0.0
Asian Handicap,Tottenham +1.5,Back,1.01,0.0
Asian Handicap,Hearts -1.0 & -1.5,Back,4.19,0.0
Asian Handicap,Tottenham +1.0 & +1.5,Back,1.01,0.0
Asian Handicap,Hearts -1.0,Back,4.22,0.0
Asian Handicap,Tottenham +1.0,Back,1.01,0.0
Asian Handicap,Hearts -0.5 & -1.0,Back,15.58,0.0
Asian Handicap,Tottenham +0.5 & +1.0,Back,323.45,0.0
Asian Handicap,Hearts -0.5,Back,16.41,0.0
Asian Handicap,Tottenham +0.5,Back,6245.01,0.0
Asian Handicap,Hearts 0 & -0.5,Back,12.79,0.0
Asian Handicap,Tottenham 0 & +0.5,Back,6265.3,0.0
Asian Handicap,Hearts 0,Back,18.58,0.0
Asian Handicap,Tottenham 0,Back,165.12,0.0
Asian Handicap,Hearts 0 & +0.5,Back,18.47,0.0
Asian Handicap,Tottenham 0 & -0.5,Back,59.89,0.0
Asian Handicap,Hearts +0.5,Back,29.79,0.0
Asian Handicap,Tottenham -0.5,Back,30.48,0.0
Asian Handicap,Hearts +0.5 & +1.0,Back,27.64,0.0
Asian Handicap,Tottenham -0.5 & -1.0,Back,32.25,0.0
Asian Handicap,Hearts +1.0,Back,13.81,0.0
Asian Handicap,Tottenham -1.0,Back,34.82,0.0
Asian Handicap,Hearts +1.0 & +1.5,Back,16.13,0.0
Asian Handicap,Tottenham -1.0 & -1.5,Back,38.5,0.0
Asian Handicap,Hearts +1.5,Back,36.49,0.0
Asian Handicap,Tottenham -1.5,Back,10.75,0.0
Asian Handicap,Hearts +1.5 & +2.0,Back,17.59,0.0
Asian Handicap,Tottenham -1.5 & -2.0,Back,21.85,0.0
Asian Handicap,Hearts +2.0,Back,13.29,0.0
Asian Handicap,Tottenham -2.0,Back,13.48,0.0
Asian Handicap,Hearts +2.0 & +2.5,Back,14.84,0.0
Asian Handicap,Tottenham -2.0 & -2.5,Back,22.31,0.0
Asian Handicap,Hearts +2.5,Back,14.18,0.0
Asian Handicap,Tottenham -2.5,Back,10.72,0.0
Asian Handicap,Hearts +2.5 & +3.0,Back,16.1,0.0
Asian Handicap,Tottenham -2.5 & -3.0,Back,14.02,0.0
