Market,Selection,Bet Type,Bet Value
Match Odds,Hearts,Back,0.0
Match Odds,Tottenham,Back,0.0
Match Odds,Draw,Back,0.0
Match Odds,Hearts,Lay,0.0
Match Odds,Tottenham,Lay,0.0
Match Odds,Draw,Lay,0.0
Over/Under 1.5 Goals,Under 1.5 Goals,Back,7.4003724
Over/Under 1.5 Goals,Over 1.5 Goals,Back,0.0
Over/Under 1.5 Goals,Under 1.5 Goals,Lay,0.0
Over/Under 1.5 Goals,Over 1.5 Goals,Lay,0.0
Over/Under 6.5 Goals,Under 6.5 Goals,Back,0.0
Over/Under 6.5 Goals,Over 6.5 Goals,Back,0.0
Over/Under 6.5 Goals,Under 6.5 Goals,Lay,0.0
Over/Under 6.5 Goals,Over 6.5 Goals,Lay,0.0
Both teams to Score?,Yes,Back,0.0
Both teams to Score?,No,Back,0.0
Both teams to Score?,Yes,Lay,0.0
Both teams to Score?,No,Lay,0.0
Over/Under 5.5 Goals,Under 5.5 Goals,Back,0.0
Over/Under 5.5 Goals,Over 5.5 Goals,Back,0.0
Over/Under 5.5 Goals,Under 5.5 Goals,Lay,0.0
Over/Under 5.5 Goals,Over 5.5 Goals,Lay,0.0
Over/Under 4.5 Goals,Under 4.5 Goals,Back,0.0
Over/Under 4.5 Goals,Over 4.5 Goals,Back,0.0
Over/Under 4.5 Goals,Under 4.5 Goals,Lay,0.0
Over/Under 4.5 Goals,Over 4.5 Goals,Lay,15.119844
Over/Under 8.5 Goals,Under 8.5 Goals,Back,0.0
Over/Under 8.5 Goals,Over 8.5 Goals,Back,0.0
Over/Under 8.5 Goals,Under 8.5 Goals,Lay,0.0
Over/Under 8.5 Goals,Over 8.5 Goals,Lay,0.0
Over/Under 3.5 Goals,Under 3.5 Goals,Back,0.0
Over/Under 3.5 Goals,Over 3.5 Goals,Back,0.0
Over/Under 3.5 Goals,Under 3.5 Goals,Lay,0.0
Over/Under 3.5 Goals,Over 3.5 Goals,Lay,16.339986
Over/Under 2.5 Goals,Under 2.5 Goals,Back,0.0
Over/Under 2.5 Goals,Over 2.5 Goals,Back,0.0
Over/Under 2.5 Goals,Under 2.5 Goals,Lay,0.0
Over/Under 2.5 Goals,Over 2.5 Goals,Lay,10.909364
Over/Under 7.5 Goals,Under 7.5 Goals,Back,0.0
Over/Under 7.5 Goals,Over 7.5 Goals,Back,0.0
Over/Under 7.5 Goals,Under 7.5 Goals,Lay,0.0
Over/Under 7.5 Goals,Over 7.5 Goals,Lay,0.0
Correct Score,'0-0',Back,0.0
Correct Score,'0-1',Back,0.0
Correct Score,'0-2',Back,0.0
Correct Score,'0-3',Back,0.0
Correct Score,'1-0',Back,0.0
Correct Score,'1-1',Back,0.0
Correct Score,'1-2',Back,0.0
Correct Score,'1-3',Back,0.0
Correct Score,'2-0',Back,0.0
Correct Score,'2-1',Back,0.0
Correct Score,'2-2',Back,0.0
Correct Score,'2-3',Back,0.0
Correct Score,'3-0',Back,0.0
Correct Score,'3-1',Back,0.0
Correct Score,'3-2',Back,0.0
Correct Score,'3-3',Back,0.0
Correct Score,Any Other Home Win,Back,0.0
Correct Score,Any Other Away Win,Back,0.0
Correct Score,Any Other Draw,Back,0.0
Correct Score,'0-0',Lay,0.0
Correct Score,'0-1',Lay,0.0
Correct Score,'0-2',Lay,0.0
Correct Score,'0-3',Lay,0.0
Correct Score,'1-0',Lay,0.0
Correct Score,'1-1',Lay,0.0
Correct Score,'1-2',Lay,0.0
Correct Score,'1-3',Lay,0.0
Correct Score,'2-0',Lay,0.0
Correct Score,'2-1',Lay,0.0
Correct Score,'2-2',Lay,0.0
Correct Score,'2-3',Lay,0.0
Correct Score,'3-0',Lay,0.0
Correct Score,'3-1',Lay,0.0
Correct Score,'3-2',Lay,0.0
Correct Score,'3-3',Lay,0.0
Correct Score,Any Other Home Win,Lay,0.0
Correct Score,Any Other Away Win,Lay,0.0
Correct Score,Any Other Draw,Lay,0.0
Asian Handicap,Hearts -4.0,Back,0.0
Asian Handicap,Tottenham +4.0,Back,0.0
Asian Handicap,Hearts -3.5 & -4.0,Back,0.0
