Market,Selection,Bet Type,Max Size,Min Size
Match Odds,Spain,Back,752.53,0.0
Match Odds,Germany,Back,1682.36,0.0
Match Odds,Draw,Back,4459.0,0.0
Match Odds,Spain,Lay,2646.99,0.0
Match Odds,Germany,Lay,2612.88,0.0
Match Odds,Draw,Lay,67939.04,0.0
Over/Under 0.5 Goals,Under 0.5 Goals,Back,292.8,0.0
Over/Under 0.5 Goals,Over 0.5 Goals,Back,16.93,0.0
Over/Under 0.5 Goals,Under 0.5 Goals,Lay,2677.6,0.0
Over/Under 0.5 Goals,Over 0.5 Goals,Lay,1765.59,0.0
Asian Handicap,Spain -4.0,Back,42.83,0.0
Asian Handicap,Germany +4.0,Back,1.01,0.0
Asian Handicap,Spain -3.5 & -4.0,Back,42.83,0.0
Asian Handicap,Germany +3.5 & +4.0,Back,1.01,0.0
Asian Handicap,Spain -3.5,Back,42.83,0.0
Asian Handicap,Germany +3.5,Back,4857.62,0.0
Asian Handicap,Spain -3.0 & -3.5,Back,44.07,0.0
Asian Handicap,Germany +3.0 & +3.5,Back,4886.93,0.0
Asian Handicap,Spain -3.0,Back,26.23,0.0
Asian Handicap,Germany +3.0,Back,4917.79,0.0
Asian Handicap,Spain -2.5 & -3.0,Back,39.76,0.0
Asian Handicap,Germany +2.5 & +3.0,Back,9831.89,0.0
Asian Handicap,Spain -2.5,Back,34.63,0.0
Asian Handicap,Germany +2.5,Back,7500.73,0.0
Asian Handicap,Spain -2.0 & -2.5,Back,33.68,0.0
Asian Handicap,Germany +2.0 & +2.5,Back,8452.88,0.0
Asian Handicap,Spain -2.0,Back,17.75,0.0
Asian Handicap,Germany +2.0,Back,8834.88,0.0
Asian Handicap,Spain -1.5 & -2.0,Back,16.43,0.0
Asian Handicap,Germany +1.5 & +2.0,Back,9178.76,0.0
Asian Handicap,Spain -1.5,Back,138.53,0.0
Asian Handicap,Germany +1.5,Back,3113.95,0.0
Asian Handicap,Spain -1.0 & -1.5,Back,168.41,0.0
Asian Handicap,Germany +1.0 & +1.5,Back,10.17,0.0
Asian Handicap,Spain -1.0,Back,214.71,0.0
Asian Handicap,Germany +1.0,Back,529.9,0.0
Asian Handicap,Spain -0.5 & -1.0,Back,732.24,0.0
Asian Handicap,Germany +0.5 & +1.0,Back,7369.37,0.0
Asian Handicap,Spain -0.5,Back,752.53,0.0
Asian Handicap,Germany +0.5,Back,2666.08,0.0
Asian Handicap,Spain 0 & -0.5,Back,1122.06,0.0
Asian Handicap,Germany 0 & +0.5,Back,5265.27,0.0
Asian Handicap,Spain 0,Back,2185.02,0.0
Asian Handicap,Germany 0,Back,10.0,0.0
Asian Handicap,Spain 0 & +0.5,Back,2978.15,0.0
Asian Handicap,Germany 0 & -0.5,Back,20.0,0.0
Asian Handicap,Spain +0.5,Back,10852.82,0.0
Asian Handicap,Germany -0.5,Back,1682.36,0.0
Asian Handicap,Spain +0.5 & +1.0,Back,1226.69,0.0
Asian Handicap,Germany -0.5 & -1.0,Back,511.94,0.0
Asian Handicap,Spain +1.0,Back,3738.86,0.0
Asian Handicap,Germany -1.0,Back,136.12,0.0
Asian Handicap,Spain +1.0 & +1.5,Back,4046.49,0.0
Asian Handicap,Germany -1.0 & -1.5,Back,107.43,0.0
Asian Handicap,Spain +1.5,Back,3175.74,0.0
Asian Handicap,Germany -1.5,Back,84.94,0.0
Asian Handicap,Spain +1.5 & +2.0,Back,1577.78,0.0
Asian Handicap,Germany -1.5 & -2.0,Back,12.01,0.0
Asian Handicap,Spain +2.0,Back,4816.33,0.0
Asian Handicap,Germany -2.0,Back,37.39,0.0
Asian Handicap,Spain +2.0 & +2.5,Back,3569.79,0.0
Asian Handicap,Germany -2.0 & -2.5,Back,34.33,0.0
Asian Handicap,Spain +2.5,Back,13901.42,0.0
Asian Handicap,Germany -2.5,Back,31.75,0.0
Asian Handicap,Spain +2.5 & +3.0,Back,7069.83,0.0
Asian Handicap,Germany -2.5 & -3.0,Back,36.42,0.0
Asian Handicap,Spain +3.0,Back,5199.05,0.0
Asian Handicap,Germany -3.0,Back,25.97,0.0
Asian Handicap,Spain +3.0 & +3.5,Back,5169.95,0.0
Asian Handicap,Germany -3.0 & -3.5,Back,41.48,0.0
Asian Handicap,Spain +3.5,Back,5142.23,0.0
Asian Handicap,Germany -3.5,Back,40.41,0.0
Asian Handicap,Spain +3.5 & +4.0,Back,1.01,0.0
Asian Handicap,Germany -3.5 & -4.0,Back,40.41,0.0
Asian Handicap,Spain +4.0,Back,1.01,0.0
Asian Handicap,Germany -4.0,Back,40.41,0.0
Asian Handicap,Spain -4.0,Lay,1008.99,0.0
Asian Handicap,Germany +4.0,Lay,9.96,0.0
Asian Handicap,Spain -3.5 & -4.0,Lay,9696.96,0.0
Asian Handicap,Germany +3.5 & +4.0,Lay,9.96,0.0
Asian Handicap,Spain -3.5,Lay,4848.48,0.0
Asian Handicap,Germany +3.5,Lay,9.96,0.0
Asian Handicap,Spain -3.0 & -3.5,Lay,4876.3,0.0
Asian Handicap,Germany +3.0 & +3.5,Lay,10.05,0.0
Asian Handicap,Spain -3.0,Lay,4906.57,0.0
Asian Handicap,Germany +3.0,Lay,10.14,0.0
Asian Handicap,Spain -2.5 & -3.0,Lay,927.77,0.0
Asian Handicap,Germany +2.5 & +3.0,Lay,40.62,0.0
Asian Handicap,Spain -2.5,Lay,469.41,0.0
Asian Handicap,Germany +2.5,Lay,1.48,0.0
