,Market ID,Market Name,Selection ID,Handicap,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
0,1.230302973,Match Odds and Both teams to Score,8348283,0.0,5.9,90.84,6.4,242.28,5.9,0.0,ACTIVE,,
1,1.230302973,Match Odds and Both teams to Score,8348259,0.0,6.0,162.5,6.6,205.62,6.4,0.0,ACTIVE,,
2,1.230302973,Match Odds and Both teams to Score,8067002,0.0,4.6,351.51,4.9,492.08,4.7,0.0,ACTIVE,,
3,1.230302973,Match Odds and Both teams to Score,8348284,0.0,5.2,21.17,5.5,214.31,5.3,0.0,ACTIVE,,
4,1.230302973,Match Odds and Both teams to Score,8348260,0.0,5.3,292.62,5.6,13.68,5.7,0.0,ACTIVE,,
5,1.230302973,Match Odds and Both teams to Score,2041283,0.0,10.5,52.62,12.0,125.97,11.0,0.0,ACTIVE,,
0,1.230302976,Over/Under 2.5 Goals,47972,0.0,1.88,17.03,1.89,424.94,1.89,0.0,ACTIVE,,
1,1.230302976,Over/Under 2.5 Goals,47973,0.0,2.12,398.84,2.14,181.45,2.14,0.0,ACTIVE,,
0,1.230302977,Over/Under 4.5 Goals,1222347,0.0,1.13,995.57,1.14,951.45,1.14,0.0,ACTIVE,,
1,1.230302977,Over/Under 4.5 Goals,1222346,0.0,8.0,153.44,8.8,127.84,8.6,0.0,ACTIVE,,
0,1.230302980,Over/Under 1.5 Goals,1221385,0.0,3.55,28.18,3.65,503.58,3.6,0.0,ACTIVE,,
1,1.230302980,Over/Under 1.5 Goals,1221386,0.0,1.38,1331.58,1.39,16.38,1.38,0.0,ACTIVE,,
0,1.230302982,Correct Score 2 Home,526007,0.0,90.0,5.62,160.0,35.56,140.0,0.0,ACTIVE,,
1,1.230302982,Correct Score 2 Home,526012,0.0,70.0,7.25,120.0,40.18,70.0,0.0,ACTIVE,,
2,1.230302982,Correct Score 2 Home,2795147,0.0,110.0,4.59,200.0,29.76,,0.0,ACTIVE,,
3,1.230302982,Correct Score 2 Home,526008,0.0,340.0,1.47,580.0,8.48,,0.0,ACTIVE,,
4,1.230302982,Correct Score 2 Home,526013,0.0,280.0,1.79,470.0,10.18,410.0,0.0,ACTIVE,,
5,1.230302982,Correct Score 2 Home,3647906,0.0,440.0,1.14,790.0,7.04,,0.0,ACTIVE,,
6,1.230302982,Correct Score 2 Home,526009,0.0,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
7,1.230302982,Correct Score 2 Home,526014,0.0,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
8,1.230302982,Correct Score 2 Home,3647907,0.0,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
9,1.230302982,Correct Score 2 Home,526010,0.0,1000.0,5.74,1000.0,1.01,,0.0,ACTIVE,,
10,1.230302982,Correct Score 2 Home,526015,0.0,1000.0,5.74,1000.0,1.01,,0.0,ACTIVE,,
11,1.230302982,Correct Score 2 Home,3647908,0.0,1000.0,5.74,1000.0,1.01,,0.0,ACTIVE,,
12,1.230302982,Correct Score 2 Home,4316861,0.0,1.02,10547.24,1.05,499.9,,0.0,ACTIVE,,
0,1.230302983,Correct Score 2 Away,2795143,0.0,95.0,5.32,170.0,30.09,170.0,0.0,ACTIVE,,
1,1.230302983,Correct Score 2 Away,2795144,0.0,75.0,6.76,130.0,38.35,,0.0,ACTIVE,,
2,1.230302983,Correct Score 2 Away,2795145,0.0,110.0,4.59,210.0,29.0,,0.0,ACTIVE,,
3,1.230302983,Correct Score 2 Away,3316811,0.0,380.0,1.32,640.0,7.54,,0.0,ACTIVE,,
4,1.230302983,Correct Score 2 Away,3316814,0.0,300.0,1.67,520.0,9.41,520.0,0.0,ACTIVE,,
5,1.230302983,Correct Score 2 Away,3694886,0.0,480.0,1.04,810.0,5.89,,0.0,ACTIVE,,
6,1.230302983,Correct Score 2 Away,3316812,0.0,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
7,1.230302983,Correct Score 2 Away,3316815,0.0,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
8,1.230302983,Correct Score 2 Away,3694887,0.0,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
9,1.230302983,Correct Score 2 Away,3316813,0.0,1000.0,5.72,1000.0,1.01,,0.0,ACTIVE,,
10,1.230302983,Correct Score 2 Away,3316816,0.0,1000.0,5.72,1000.0,1.01,,0.0,ACTIVE,,
11,1.230302983,Correct Score 2 Away,3694888,0.0,1000.0,5.72,1000.0,1.01,,0.0,ACTIVE,,
12,1.230302983,Correct Score 2 Away,4316861,0.0,1.02,9117.74,1.05,499.9,,0.0,ACTIVE,,
0,1.230302989,Over/Under 3.5 Goals,1222344,0.0,1.35,51.57,1.36,30.82,1.36,0.0,ACTIVE,,
1,1.230302989,Over/Under 3.5 Goals,1222345,0.0,3.75,20.33,3.9,20.11,3.9,0.0,ACTIVE,,
0,1.230302990,Asian Handicap,22,-4.0,38.0,42.83,1000.0,1.01,,0.0,ACTIVE,,
1,1.230302990,Asian Handicap,18,4.0,1.01,1.01,1.02,498.24,,0.0,ACTIVE,,
2,1.230302990,Asian Handicap,22,-3.75,38.0,42.83,169.0,57.72,,0.0,ACTIVE,,
3,1.230302990,Asian Handicap,18,3.75,1.01,1.01,1.02,498.24,,0.0,ACTIVE,,
4,1.230302990,Asian Handicap,22,-3.5,38.0,42.83,85.0,57.72,,0.0,ACTIVE,,
5,1.230302990,Asian Handicap,18,3.5,1.01,4857.62,1.02,498.24,,0.0,ACTIVE,,
6,1.230302990,Asian Handicap,22,-3.25,37.43,44.07,83.37,59.2,,0.0,ACTIVE,,
7,1.230302990,Asian Handicap,18,3.25,1.01,4886.93,1.02,502.51,,0.0,ACTIVE,,
8,1.230302990,Asian Handicap,22,-3.0,36.86,26.23,81.74,60.77,57.57,0.0,ACTIVE,,
9,1.230302990,Asian Handicap,18,3.0,1.01,4917.79,1.02,507.03,,0.0,ACTIVE,,
10,1.230302990,Asian Handicap,22,-2.75,26.54,39.76,31.66,30.26,26.57,0.0,ACTIVE,,
11,1.230302990,Asian Handicap,18,2.75,1.03,9831.89,1.04,1015.52,,0.0,ACTIVE,,
12,1.230302990,Asian Handicap,22,-2.5,17.5,34.63,19.92,24.81,17.72,0.0,ACTIVE,,
13,1.230302990,Asian Handicap,18,2.5,1.05,7500.73,1.06,24.74,1.06,0.0,ACTIVE,,
14,1.230302990,Asian Handicap,22,-2.25,16.6,33.68,18.91,24.83,16.66,0.0,ACTIVE,,
15,1.230302990,Asian Handicap,18,2.25,1.05,8452.88,1.07,1086.25,,0.0,ACTIVE,,
