,Market,Selection,Bet Type,Market ID,Selection ID,Price,Size,Handicap,Liability,Stake
0,Match Odds,Hearts,Back,1.230788276,2437395,42.0,17.22,0.0,0.0,0.0
1,Match Odds,Tottenham,Back,1.230788276,48759,1.14,635.33,0.0,0.0,0.0
2,Match Odds,Draw,Back,1.230788276,58805,9.0,76.15,0.0,0.0,0.0
3,Match Odds,Hearts,Lay,1.230788276,2437395,60.0,12.24,0.0,0.0,0.0
4,Match Odds,Tottenham,Lay,1.230788276,48759,1.15,26.97,0.0,0.0,0.0
5,Match Odds,Draw,Lay,1.230788276,58805,10.5,105.37,0.0,0.0,0.0
6,Over/Under 1.5 Goals,Under 1.5 Goals,Back,1.230788324,1221385,5.5,130.99,0.0,7.4003724,7.4
7,Over/Under 1.5 Goals,Over 1.5 Goals,Back,1.230788324,1221386,1.19,20.34,0.0,0.0,0.0
8,Over/Under 1.5 Goals,Under 1.5 Goals,Lay,1.230788324,1221385,6.6,112.88,0.0,0.0,0.0
9,Over/Under 1.5 Goals,Over 1.5 Goals,Lay,1.230788324,1221386,1.22,307.0,0.0,0.0,0.0
10,Over/Under 6.5 Goals,Under 6.5 Goals,Back,1.230788282,2542448,1.01,1.01,0.0,0.0,0.0
11,Over/Under 6.5 Goals,Over 6.5 Goals,Back,1.230788282,2542449,90.0,14.04,0.0,0.0,0.0
12,Over/Under 6.5 Goals,Under 6.5 Goals,Lay,1.230788282,2542448,1.01,271.39,0.0,0.0,0.0
13,Over/Under 6.5 Goals,Over 6.5 Goals,Lay,1.230788282,2542449,1000.0,1.01,0.0,0.0,0.0
14,Both teams to Score?,Yes,Back,1.230788360,30246,2.52,215.6,0.0,0.0,0.0
15,Both teams to Score?,No,Back,1.230788360,110503,1.47,440.67,0.0,0.0,0.0
16,Both teams to Score?,Yes,Lay,1.230788360,30246,3.15,424.95,0.0,0.0,0.0
17,Both teams to Score?,No,Lay,1.230788360,110503,1.65,159.47,0.0,0.0,0.0
18,Over/Under 5.5 Goals,Under 5.5 Goals,Back,1.230788284,1485567,1.02,680.69,0.0,0.0,0.0
19,Over/Under 5.5 Goals,Over 5.5 Goals,Back,1.230788284,1485568,30.0,18.25,0.0,0.0,0.0
20,Over/Under 5.5 Goals,Under 5.5 Goals,Lay,1.230788284,1485567,1.03,38.36,0.0,0.0,0.0
21,Over/Under 5.5 Goals,Over 5.5 Goals,Lay,1.230788284,1485568,55.0,15.35,0.0,0.0,0.0
22,Over/Under 4.5 Goals,Under 4.5 Goals,Back,1.230788322,1222347,1.09,550.14,0.0,0.0,0.0
23,Over/Under 4.5 Goals,Over 4.5 Goals,Back,1.230788322,1222346,10.0,54.63,0.0,0.0,0.0
24,Over/Under 4.5 Goals,Under 4.5 Goals,Lay,1.230788322,1222347,1.11,30.9,0.0,0.0,0.0
25,Over/Under 4.5 Goals,Over 4.5 Goals,Lay,1.230788322,1222346,12.0,15.0,0.0,15.119844,1.37
