,Market,Selection,Bet Type,Market ID,Selection ID,Price,Size,Handicap,Liability,Stake
0,Match Odds,Spain,Back,1.230452417,22,2.84,14741.82,0.0,0.0,0.0
1,Match Odds,France,Back,1.230452417,24,3.25,23832.55,0.0,0.0,0.0
2,Match Odds,Draw,Back,1.230452417,58805,2.9,20305.1,0.0,0.0,0.0
3,Match Odds,Spain,Lay,1.230452417,22,2.86,19052.72,0.0,0.0,0.0
4,Match Odds,France,Lay,1.230452417,24,3.3,22976.0,0.0,0.0,0.0
5,Match Odds,Draw,Lay,1.230452417,58805,2.92,16530.01,0.0,0.0,0.0
6,Asian Handicap,Spain -4.0,Back,1.230452370,22,62.33,23.4,-4.0,0.0,0.0
7,Asian Handicap,France +4.0,Back,1.230452370,24,1.01,1.01,4.0,0.0,0.0
8,Asian Handicap,Spain -3.5 & -4.0,Back,1.230452370,22,62.33,23.4,-3.75,0.0,0.0
9,Asian Handicap,France +3.5 & +4.0,Back,1.230452370,24,1.01,1.01,3.75,0.0,0.0
10,Asian Handicap,Spain -3.5,Back,1.230452370,22,62.33,23.4,-3.5,0.0,0.0
11,Asian Handicap,France +3.5,Back,1.230452370,24,1.01,115.39,3.5,0.0,0.0
12,Asian Handicap,Spain -3.0 & -3.5,Back,1.230452370,22,61.49,10.13,-3.25,0.0,0.0
13,Asian Handicap,France +3.0 & +3.5,Back,1.230452370,24,1.01,116.01,3.25,0.0,0.0
14,Asian Handicap,Spain -3.0,Back,1.230452370,22,60.57,10.3,-3.0,0.0,0.0
15,Asian Handicap,France +3.0,Back,1.230452370,24,1.01,116.65,3.0,0.0,0.0
16,Asian Handicap,Spain -2.5 & -3.0,Back,1.230452370,22,35.4,13.09,-2.75,0.0,0.0
17,Asian Handicap,France +2.5 & +3.0,Back,1.230452370,24,1.02,4966.15,2.75,0.0,0.0
18,Asian Handicap,Spain -2.5,Back,1.230452370,22,22.5,20.6,-2.5,0.0,0.0
19,Asian Handicap,France +2.5,Back,1.230452370,24,1.04,1940.64,2.5,0.0,0.0
20,Asian Handicap,Spain -2.0 & -2.5,Back,1.230452370,22,21.3,22.5,-2.25,0.0,0.0
21,Asian Handicap,France +2.0 & +2.5,Back,1.230452370,24,1.04,2446.9,2.25,0.0,0.0
22,Asian Handicap,Spain -2.0,Back,1.230452370,22,20.11,24.49,-2.0,0.0,0.0
23,Asian Handicap,France +2.0,Back,1.230452370,24,1.04,2504.42,2.0,0.0,0.0
24,Asian Handicap,Spain -1.5 & -2.0,Back,1.230452370,22,9.7,36.93,-1.75,0.0,0.0
25,Asian Handicap,France +1.5 & +2.0,Back,1.230452370,24,1.1,6128.76,1.75,0.0,0.0
26,Asian Handicap,Spain -1.5,Back,1.230452370,22,6.64,28.92,-1.5,0.0,0.0
27,Asian Handicap,France +1.5,Back,1.230452370,24,1.16,4341.0,1.5,0.0,0.0
28,Asian Handicap,Spain -1.0 & -1.5,Back,1.230452370,22,5.97,35.1,-1.25,0.0,0.0
29,Asian Handicap,France +1.0 & +1.5,Back,1.230452370,24,1.18,6553.62,1.25,0.0,0.0
30,Asian Handicap,Spain -1.0,Back,1.230452370,22,5.31,10.94,-1.0,0.0,0.0
31,Asian Handicap,France +1.0,Back,1.230452370,24,1.21,6918.12,1.0,0.0,0.0
32,Asian Handicap,Spain -0.5 & -1.0,Back,1.230452370,22,3.57,1474.82,-0.75,0.0,0.0
33,Asian Handicap,France +0.5 & +1.0,Back,1.230452370,24,1.37,19371.27,0.75,0.0,0.0
34,Asian Handicap,Spain -0.5,Back,1.230452370,22,2.84,14749.62,-0.5,0.0,0.0
35,Asian Handicap,France +0.5,Back,1.230452370,24,1.53,116832.73,0.5,0.0,0.0
36,Asian Handicap,Spain 0 & -0.5,Back,1.230452370,22,2.35,17920.2,-0.25,0.0,0.0
37,Asian Handicap,France 0 & +0.5,Back,1.230452370,24,1.73,1696.92,0.25,0.0,0.0
38,Asian Handicap,Spain 0,Back,1.230452370,22,1.86,23367.52,0.0,0.0,0.0
39,Asian Handicap,France 0,Back,1.230452370,24,2.14,543.6,0.0,0.0,0.0
40,Asian Handicap,Spain 0 & +0.5,Back,1.230452370,22,1.57,70120.19,0.25,0.0,0.0
41,Asian Handicap,France 0 & -0.5,Back,1.230452370,24,2.69,49126.39,-0.25,0.0,0.0
42,Asian Handicap,Spain +0.5,Back,1.230452370,22,1.43,55877.54,0.5,0.0,0.0
43,Asian Handicap,France -0.5,Back,1.230452370,24,3.25,23839.76,-0.5,0.0,0.0
44,Asian Handicap,Spain +0.5 & +1.0,Back,1.230452370,22,1.29,11738.46,0.75,0.0,0.0
45,Asian Handicap,France -0.5 & -1.0,Back,1.230452370,24,4.27,384.2,-0.75,0.0,0.0
46,Asian Handicap,Spain +1.0,Back,1.230452370,22,1.15,4646.73,1.0,0.0,0.0
47,Asian Handicap,France -1.0,Back,1.230452370,24,6.95,105.56,-1.0,0.0,0.0
48,Asian Handicap,Spain +1.0 & +1.5,Back,1.230452370,22,1.14,143.97,1.25,0.0,0.0
49,Asian Handicap,France -1.0 & -1.5,Back,1.230452370,24,7.77,86.4,-1.25,0.0,0.0
50,Asian Handicap,Spain +1.5,Back,1.230452370,22,1.12,3472.83,1.5,0.0,0.0
51,Asian Handicap,France -1.5,Back,1.230452370,24,8.6,73.05,-1.5,0.0,0.0
52,Asian Handicap,Spain +1.5 & +2.0,Back,1.230452370,22,1.07,7574.45,1.75,0.0,0.0
53,Asian Handicap,France -1.5 & -2.0,Back,1.230452370,24,12.9,79.12,-1.75,0.0,0.0
54,Asian Handicap,Spain +2.0,Back,1.230452370,22,1.03,2116.61,2.0,0.0,0.0
55,Asian Handicap,France -2.0,Back,1.230452370,24,28.49,17.14,-2.0,0.0,0.0
56,Asian Handicap,Spain +2.0 & +2.5,Back,1.230452370,22,1.02,29579.23,2.25,0.0,0.0
57,Asian Handicap,France -2.0 & -2.5,Back,1.230452370,24,29.8,16.08,-2.25,0.0,0.0
58,Asian Handicap,Spain +2.5,Back,1.230452370,22,1.02,29319.67,2.5,0.0,0.0
59,Asian Handicap,France -2.5,Back,1.230452370,24,31.11,15.15,-2.5,0.0,0.0
60,Asian Handicap,Spain +2.5 & +3.0,Back,1.230452370,22,1.01,57637.99,2.75,0.0,0.0
61,Asian Handicap,France -2.5 & -3.0,Back,1.230452370,24,47.06,14.33,-2.75,0.0,0.0
62,Asian Handicap,Spain +3.0,Back,1.230452370,22,1.01,1.01,3.0,0.0,0.0
63,Asian Handicap,France -3.0,Back,1.230452370,24,101.0,10.73,-3.0,0.0,0.0
64,Asian Handicap,Spain +3.0 & +3.5,Back,1.230452370,22,1.01,1.01,3.25,0.0,0.0
65,Asian Handicap,France -3.0 & -3.5,Back,1.230452370,24,102.07,10.6,-3.25,0.0,0.0
66,Asian Handicap,Spain +3.5,Back,1.230452370,22,1.01,1.01,3.5,0.0,0.0
67,Asian Handicap,France -3.5,Back,1.230452370,24,103.14,10.49,-3.5,0.0,0.0
68,Asian Handicap,Spain +3.5 & +4.0,Back,1.230452370,22,1.01,1.01,3.75,0.0,0.0
69,Asian Handicap,France -3.5 & -4.0,Back,1.230452370,24,103.14,10.49,-3.75,0.0,0.0
70,Asian Handicap,Spain +4.0,Back,1.230452370,22,1.01,1.01,4.0,0.0,0.0
71,Asian Handicap,France -4.0,Back,1.230452370,24,103.14,10.49,-4.0,0.0,0.0
72,Asian Handicap,Spain -4.0,Lay,1.230452370,22,1000.0,1.01,-4.0,0.0,0.0
73,Asian Handicap,France +4.0,Lay,1.230452370,24,1.02,3011.27,4.0,0.0,0.0
74,Asian Handicap,Spain -3.5 & -4.0,Lay,1.230452370,22,219.0,26.93,-3.75,0.0,0.0
75,Asian Handicap,France +3.5 & +4.0,Lay,1.230452370,24,1.02,3011.27,3.75,0.0,0.0
76,Asian Handicap,Spain -3.5,Lay,1.230452370,22,110.0,26.93,-3.5,0.0,0.0
77,Asian Handicap,France +3.5,Lay,1.230452370,24,1.02,3011.27,3.5,0.0,0.0
78,Asian Handicap,Spain -3.0 & -3.5,Lay,1.230452370,22,108.24,13.26,-3.25,0.0,0.0
79,Asian Handicap,France +3.0 & +3.5,Lay,1.230452370,24,1.02,3032.72,3.25,0.0,0.0
80,Asian Handicap,Spain -3.0,Lay,1.230452370,22,106.77,27.83,-3.0,0.0,0.0
81,Asian Handicap,France +3.0,Lay,1.230452370,24,1.02,3055.2,3.0,0.0,0.0
82,Asian Handicap,Spain -2.5 & -3.0,Lay,1.230452370,22,41.41,48.29,-2.75,0.0,0.0
83,Asian Handicap,France +2.5 & +3.0,Lay,1.230452370,24,1.03,450.0,2.75,0.0,0.0
84,Asian Handicap,Spain -2.5,Lay,1.230452370,22,25.98,39.45,-2.5,0.0,0.0
85,Asian Handicap,France +2.5,Lay,1.230452370,24,1.05,5373.63,2.5,0.0,0.0
86,Asian Handicap,Spain -2.0 & -2.5,Lay,1.230452370,22,24.62,42.49,-2.25,0.0,0.0
87,Asian Handicap,France +2.0 & +2.5,Lay,1.230452370,24,1.05,456.42,2.25,0.0,0.0
88,Asian Handicap,Spain -2.0,Lay,1.230452370,22,23.27,46.01,-2.0,0.0,0.0
89,Asian Handicap,France +2.0,Lay,1.230452370,24,1.06,5815.39,2.0,0.0,0.0
90,Asian Handicap,Spain -1.5 & -2.0,Lay,1.230452370,22,10.38,26.31,-1.75,0.0,0.0
91,Asian Handicap,France +1.5 & +2.0,Lay,1.230452370,24,1.12,4873.73,1.75,0.0,0.0
92,Asian Handicap,Spain -1.5,Lay,1.230452370,22,7.0,98.57,-1.5,0.0,0.0
93,Asian Handicap,France +1.5,Lay,1.230452370,24,1.18,2260.35,1.5,0.0,0.0
94,Asian Handicap,Spain -1.0 & -1.5,Lay,1.230452370,22,6.28,119.49,-1.25,0.0,0.0
95,Asian Handicap,France +1.0 & +1.5,Lay,1.230452370,24,1.21,3784.01,1.25,0.0,0.0
96,Asian Handicap,Spain -1.0,Lay,1.230452370,22,5.56,151.5,-1.0,0.0,0.0
97,Asian Handicap,France +1.0,Lay,1.230452370,24,1.24,2703.52,1.0,0.0,0.0
98,Asian Handicap,Spain -0.5 & -1.0,Lay,1.230452370,22,3.65,521.71,-0.75,0.0,0.0
99,Asian Handicap,France +0.5 & +1.0,Lay,1.230452370,24,1.39,5329.62,0.75,0.0,0.0
100,Asian Handicap,Spain -0.5,Lay,1.230452370,22,2.86,19052.72,-0.5,0.0,0.0
101,Asian Handicap,France +0.5,Lay,1.230452370,24,1.55,104289.44,0.5,0.0,0.0
102,Asian Handicap,Spain 0 & -0.5,Lay,1.230452370,22,2.37,29430.34,-0.25,0.0,0.0
103,Asian Handicap,France 0 & +0.5,Lay,1.230452370,24,1.74,31.29,0.25,0.0,0.0
104,Asian Handicap,Spain 0,Lay,1.230452370,22,1.88,62635.85,0.0,0.0,0.0
105,Asian Handicap,France 0,Lay,1.230452370,24,2.16,88.4,0.0,0.0,0.0
106,Asian Handicap,Spain 0 & +0.5,Lay,1.230452370,22,1.59,731.64,0.25,0.0,0.0
107,Asian Handicap,France 0 & -0.5,Lay,1.230452370,24,2.73,85.89,-0.25,0.0,0.0
108,Asian Handicap,Spain +0.5,Lay,1.230452370,22,1.45,91226.59,0.5,0.0,0.0
109,Asian Handicap,France -0.5,Lay,1.230452370,24,3.3,22982.74,-0.5,0.0,0.0
110,Asian Handicap,Spain +0.5 & +1.0,Lay,1.230452370,22,1.31,7596.6,0.75,0.0,0.0
111,Asian Handicap,France -0.5 & -1.0,Lay,1.230452370,24,4.37,91.48,-0.75,0.0,0.0
112,Asian Handicap,Spain +1.0,Lay,1.230452370,22,1.17,627.06,1.0,0.0,0.0
113,Asian Handicap,France -1.0,Lay,1.230452370,24,7.27,10.93,-1.0,0.0,0.0
114,Asian Handicap,Spain +1.0 & +1.5,Lay,1.230452370,22,1.15,583.8,1.25,0.0,0.0
115,Asian Handicap,France -1.0 & -1.5,Lay,1.230452370,24,8.14,20.16,-1.25,0.0,0.0
116,Asian Handicap,Spain +1.5,Lay,1.230452370,22,1.14,3842.31,1.5,0.0,0.0
117,Asian Handicap,France -1.5,Lay,1.230452370,24,9.0,17.11,-1.5,0.0,0.0
118,Asian Handicap,Spain +1.5 & +2.0,Lay,1.230452370,22,1.09,5421.16,1.75,0.0,0.0
119,Asian Handicap,France -1.5 & -2.0,Lay,1.230452370,24,13.8,20.82,-1.75,0.0,0.0
120,Asian Handicap,Spain +2.0,Lay,1.230452370,22,1.04,1086.86,2.0,0.0,0.0
121,Asian Handicap,France -2.0,Lay,1.230452370,24,33.0,31.59,-2.0,0.0,0.0
122,Asian Handicap,Spain +2.0 & +2.5,Lay,1.230452370,22,1.04,1065.85,2.25,0.0,0.0
123,Asian Handicap,France -2.0 & -2.5,Lay,1.230452370,24,34.5,29.73,-2.25,0.0,0.0
124,Asian Handicap,Spain +2.5,Lay,1.230452370,22,1.04,4631.68,2.5,0.0,0.0
125,Asian Handicap,France -2.5,Lay,1.230452370,24,36.0,28.08,-2.5,0.0,0.0
126,Asian Handicap,Spain +2.5 & +3.0,Lay,1.230452370,22,1.03,6049.78,2.75,0.0,0.0
127,Asian Handicap,France -2.5 & -3.0,Lay,1.230452370,24,58.15,34.18,-2.75,0.0,0.0
128,Asian Handicap,Spain +3.0,Lay,1.230452370,22,1.01,1149.86,3.0,0.0,0.0
129,Asian Handicap,France -3.0,Lay,1.230452370,24,246.0,11.43,-3.0,0.0,0.0
130,Asian Handicap,Spain +3.0 & +3.5,Lay,1.230452370,22,1.01,1149.86,3.25,0.0,0.0
131,Asian Handicap,France -3.0 & -3.5,Lay,1.230452370,24,249.0,11.27,-3.25,0.0,0.0
132,Asian Handicap,Spain +3.5,Lay,1.230452370,22,1.01,1149.86,3.5,0.0,0.0
133,Asian Handicap,France -3.5,Lay,1.230452370,24,252.0,11.11,-3.5,0.0,0.0
134,Asian Handicap,Spain +3.5 & +4.0,Lay,1.230452370,22,1.01,1149.86,3.75,0.0,0.0
135,Asian Handicap,France -3.5 & -4.0,Lay,1.230452370,24,503.0,11.11,-3.75,0.0,0.0
136,Asian Handicap,Spain +4.0,Lay,1.230452370,22,1.01,1149.86,4.0,0.0,0.0
137,Asian Handicap,France -4.0,Lay,1.230452370,24,1000.0,1.01,-4.0,0.0,0.0
138,Correct Score,'0-0',Back,1.230452427,1,7.2,16218.25,0.0,0.0,0.0
139,Correct Score,'0-1',Back,1.230452427,4,8.8,509.65,0.0,5.0249694,5.02
140,Correct Score,'0-2',Back,1.230452427,9,17.5,692.58,0.0,0.0,0.0
141,Correct Score,'0-3',Back,1.230452427,16,55.0,342.37,0.0,0.45454545,0.45
142,Correct Score,'1-0',Back,1.230452427,2,8.4,1102.16,0.0,2.9761905,2.98
143,Correct Score,'1-1',Back,1.230452427,3,6.4,19306.33,0.0,0.0,0.0
144,Correct Score,'1-2',Back,1.230452427,8,14.5,2005.63,0.0,1.7241379,1.72
145,Correct Score,'1-3',Back,1.230452427,15,42.0,328.13,0.0,0.0,0.0
146,Correct Score,'2-0',Back,1.230452427,5,14.0,1502.56,0.0,0.0,0.0
147,Correct Score,'2-1',Back,1.230452427,6,13.5,3206.01,0.0,1.8518519,1.85
148,Correct Score,'2-2',Back,1.230452427,7,23.0,204.59,0.0,0.0,0.0
149,Correct Score,'2-3',Back,1.230452427,14,65.0,654.26,0.0,0.38461538,0.38
150,Correct Score,'3-0',Back,1.230452427,10,40.0,342.59,0.0,0.625,0.62
151,Correct Score,'3-1',Back,1.230452427,11,32.0,786.75,0.0,0.0,0.0
152,Correct Score,'3-2',Back,1.230452427,12,65.0,476.21,0.0,0.38461538,0.38
153,Correct Score,'3-3',Back,1.230452427,13,140.0,184.24,0.0,0.0,0.0
154,Correct Score,Any Other Home Win,Back,1.230452427,9063254,42.0,36.04,0.0,0.0,0.0
155,Correct Score,Any Other Away Win,Back,1.230452427,9063255,60.0,43.79,0.0,0.0,0.0
156,Correct Score,Any Other Draw,Back,1.230452427,9063256,740.0,12.88,0.0,0.0,0.0
157,Correct Score,'0-0',Lay,1.230452427,1,7.4,18053.37,0.0,0.0,0.0
158,Correct Score,'0-1',Lay,1.230452427,4,9.0,2002.93,0.0,0.0,0.0
159,Correct Score,'0-2',Lay,1.230452427,9,18.0,567.96,0.0,0.0,0.0
160,Correct Score,'0-3',Lay,1.230452427,16,60.0,39.73,0.0,0.0,0.0
161,Correct Score,'1-0',Lay,1.230452427,2,8.6,1576.69,0.0,0.0,0.0
162,Correct Score,'1-1',Lay,1.230452427,3,6.6,10360.13,0.0,0.0,0.0
163,Correct Score,'1-2',Lay,1.230452427,8,15.0,662.14,0.0,0.0,0.0
164,Correct Score,'1-3',Lay,1.230452427,15,44.0,24.06,0.0,0.0,0.0
165,Correct Score,'2-0',Lay,1.230452427,5,14.5,979.04,0.0,0.0,0.0
166,Correct Score,'2-1',Lay,1.230452427,6,14.0,482.92,0.0,0.0,0.0
167,Correct Score,'2-2',Lay,1.230452427,7,24.0,498.89,0.0,0.0,0.0
168,Correct Score,'2-3',Lay,1.230452427,14,70.0,17.41,0.0,0.0,0.0
169,Correct Score,'3-0',Lay,1.230452427,10,42.0,81.39,0.0,0.0,0.0
170,Correct Score,'3-1',Lay,1.230452427,11,34.0,287.52,0.0,0.0,0.0
171,Correct Score,'3-2',Lay,1.230452427,12,70.0,194.6,0.0,0.0,0.0
172,Correct Score,'3-3',Lay,1.230452427,13,150.0,198.95,0.0,0.0,0.0
173,Correct Score,Any Other Home Win,Lay,1.230452427,9063254,44.0,115.43,0.0,0.0,0.0
174,Correct Score,Any Other Away Win,Lay,1.230452427,9063255,65.0,76.93,0.0,0.0,0.0
175,Correct Score,Any Other Draw,Lay,1.230452427,9063256,970.0,15.84,0.0,0.0,0.0
176,Over/Under 2.5 Goals,Under 2.5 Goals,Back,1.230452356,47972,1.54,1375.96,0.0,0.0,0.0
177,Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.230452356,47973,2.82,732.58,0.0,0.0,0.0
178,Over/Under 2.5 Goals,Under 2.5 Goals,Lay,1.230452356,47972,1.55,2135.66,0.0,0.0,0.0
179,Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.230452356,47973,2.84,104.4,0.0,0.0,0.0
180,Over/Under 0.5 Goals,Under 0.5 Goals,Back,1.230452422,5851482,7.2,1757.32,0.0,0.0,0.0
181,Over/Under 0.5 Goals,Over 0.5 Goals,Back,1.230452422,5851483,1.15,125072.41,0.0,0.0,0.0
182,Over/Under 0.5 Goals,Under 0.5 Goals,Lay,1.230452422,5851482,7.4,6642.71,0.0,0.0,0.0
183,Over/Under 0.5 Goals,Over 0.5 Goals,Lay,1.230452422,5851483,1.16,490.89,0.0,0.0,0.0
184,Over/Under 1.5 Goals,Under 1.5 Goals,Back,1.230452360,1221385,2.7,760.17,0.0,0.0,0.0
185,Over/Under 1.5 Goals,Over 1.5 Goals,Back,1.230452360,1221386,1.58,53.05,0.0,0.0,0.0
186,Over/Under 1.5 Goals,Under 1.5 Goals,Lay,1.230452360,1221385,2.74,804.94,0.0,0.0,0.0
187,Over/Under 1.5 Goals,Over 1.5 Goals,Lay,1.230452360,1221386,1.59,1472.63,0.0,0.0,0.0
188,Goal Lines,Under 0.5,Back,1.230452430,7044483,7.25,78.54,0.5,0.0,0.0
189,Goal Lines,Over 0.5,Back,1.230452430,7044482,1.15,125072.41,0.5,0.0,0.0
190,Goal Lines,Under 0.5 & 1.0,Back,1.230452430,7044483,4.93,169.24,0.75,0.0,0.0
191,Goal Lines,Over 0.5 & 1.0,Back,1.230452430,7044482,1.18,21720.81,0.75,0.0,0.0
192,Goal Lines,Under 1.0,Back,1.230452430,7044483,4.44,217.87,1.0,0.0,0.0
