Solihull Moors,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10
Birmingham,,,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,0,1,2,3,4,5,0,1,2,3,4,0,1,2,3,0,1,2,3,0,1,2,3,0
Market,Selection,Bet Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over/Under 1.5 Goals,Under 1.5 Goals,Back,32.339627388,32.339627388,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,32.339627388,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724,-7.4003724
Over/Under 4.5 Goals,Over 4.5 Goals,Lay,1.3679858857142855,1.3679858857142855,1.3679858857142855,1.3679858857142855,1.3679858857142855,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,1.3679858857142855,1.3679858857142855,1.3679858857142855,1.3679858857142855,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,1.3679858857142855,1.3679858857142855,1.3679858857142855,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,1.3679858857142855,1.3679858857142855,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,1.3679858857142855,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844,-15.119844
Over/Under 3.5 Goals,Over 3.5 Goals,Lay,5.007415064516129,5.007415064516129,5.007415064516129,5.007415064516129,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,5.007415064516129,5.007415064516129,5.007415064516129,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,5.007415064516129,5.007415064516129,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,5.007415064516129,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986,-16.339986
Over/Under 2.5 Goals,Over 2.5 Goals,Lay,10.57540387755102,10.57540387755102,10.57540387755102,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,10.57540387755102,10.57540387755102,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,10.57540387755102,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364,-10.909364
Goal Lines,Over 2.0,Back,-19.8,-19.8,0.0,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,-19.8,0.0,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,0.0,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217,10.7217
Goal Lines,Over 6.5,Back,-4.6908616,-4.6908616,-4.6908616,-4.6908616,-4.6908616,-4.6908616,-4.6908616,588.23404464,588.23404464,588.23404464,588.23404464,-4.6908616,-4.6908616,-4.6908616,-4.6908616,-4.6908616,-4.6908616,588.23404464,588.23404464,588.23404464,588.23404464,-4.6908616,-4.6908616,-4.6908616,-4.6908616,-4.6908616,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,-4.6908616,-4.6908616,-4.6908616,-4.6908616,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,-4.6908616,-4.6908616,-4.6908616,588.23404464,588.23404464,588.23404464,588.23404464,-4.6908616,-4.6908616,588.23404464,588.23404464,588.23404464,588.23404464,-4.6908616,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464,588.23404464
Goal Lines,Under 2.0,Lay,-19.94,-19.94,0.0,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,-19.94,0.0,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,0.0,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182,10.763068181818182
Goal Lines,Under 3.5 & 4.0,Lay,-4.8595711,-4.8595711,-4.8595711,-4.8595711,16.487830517857155,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,-4.8595711,-4.8595711,-4.8595711,16.487830517857155,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,-4.8595711,-4.8595711,16.487830517857155,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,-4.8595711,16.487830517857155,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,16.487830517857155,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431,32.97566103571431
