,Competition,ID
0,Specials,2608550
1,Ecuadorian Serie B,3057583
2,Swedish Allsvenskan,129
3,Swiss Super League,133
4,CONMEBOL Copa Sudamericana,12204604
5,Indian Calcutta Matches,12008241
6,US United Soccer League,12216637
7,Swiss Challenge League,135
8,Polish 2 Liga,11838780
9,Brazilian Women's Matches,12009917
10,Polish I Liga,403085
11,Brazilian Serie A,13
12,US MLS,141
13,UEFA Champions League Qualifiers,12242357
14,Bulgarian A League,15
15,UEFA Europa Conference Qualifiers,12351533
16,Czech 1 Liga,12204204
17,Danish Superliga,23
18,Danish 1st Division,25
19,Men's Olympics,12664154
20,Brazilian Serie B,321319
21,Czech 2 Liga,862638
22,UEFA Europa League Qualifiers,12243231
23,US Matches,12047249
24,Scottish League Cup,12246418
25,Peruvian Primera Division,8594603
26,Colombian Primera A,844197
27,Romanian Liga I,4905
28,Chilean Primera Division,744098
29,Venezuelan Primera Division,1065530
30,Latvian Virsliga,12216976
31,Finnish Veikkausliiga,45
32,Icelandic Urvalsdeild,12209556
33,Norwegian Eliteserien,11068551
34,Norwegian 1st Division,12209546
35,German Regionalliga Bavaria,853948
36,Uruguayan Primera Division,843454
37,Egyptian Premier,801976
38,Argentinian Cup,12185871
39,UEFA U19 Euro Championship,12209548
40,Chinese Super League,879931
41,Paraguayan Cup,12238093
42,Argentinian Primera Division,67387
43,Swedish Superettan,12202373
44,Icelandic Matches,12134265
45,Finnish Kakkonen,11887991
46,Belgian Super Cup,542539
47,South Korean K League 2,12395641
48,Brazilian U20,12148223
49,South Korean K League 1,12395639
50,Friendlies International U23,12206577
51,Singapore S-League,848322
52,Friendly Matches,12005859
53,Estonian Premier League,12216175
54,Egyptian Cup,802004
55,Japanese J League,89
56,Dominican Republic Matches,12222436
57,Polish Ekstraklasa,97
58,Serbian Super League,103
59,Elite Friendlies,12247754
60,UEFA Women's U19 Euro Championship,12223307
61,Mexican Liga MX,5627174
62,Slovenian Premier League,115
63,Lithuanian A Lyga,879221
64,Argentinian Reserves,4512440
65,Icelandic 1 Deild,12010570
66,Canadian Premier League,12231751
67,Brazilian Serie C,3172302
68,Estonian Esiliiga,873203
