Market ID,Market Name,Total Matched
1.230788276,Match Odds,4555.61
1.230788324,Over/Under 1.5 Goals,1609.4
1.230788282,Over/Under 6.5 Goals,1214.01
1.230788360,Both teams to Score?,851.83
1.230788284,Over/Under 5.5 Goals,761.7
1.230788322,Over/Under 4.5 Goals,672.96
1.230788273,Over/Under 8.5 Goals,588.5
1.230788325,Over/Under 3.5 Goals,566.3
1.230788321,Over/Under 2.5 Goals,543.16
1.230788275,Over/Under 7.5 Goals,503.78
1.230788285,Correct Score,166.24
1.230788326,Asian Handicap,57.21
1.230788277,Double Chance,30.47
1.230788286,Goal Lines,0.12
1.230788361,Draw no Bet,0.0
