Netherlands,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10
England,,,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,0,1,2,3,4,5,0,1,2,3,4,0,1,2,3,0,1,2,3,0,1,2,3,0
Market,Selection,Bet Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correct Score,'1-3',Back,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,96.60000000000001,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45
Correct Score,'2-2',Back,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,73.26,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96
Correct Score,'2-3',Back,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,98.28,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82
Correct Score,'3-1',Back,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,97.58,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38,-2.38
Correct Score,'3-2',Back,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,98.56,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54,-1.54
Correct Score,'3-3',Back,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,76.3,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
Goal Lines,Under 3.5,Back,18.698999999999998,18.698999999999998,18.698999999999998,18.698999999999998,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,18.698999999999998,18.698999999999998,18.698999999999998,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,18.698999999999998,18.698999999999998,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,18.698999999999998,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3,-81.3
Match Odds and Both teams to Score,Draw/Yes,Back,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,17.945,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,17.945,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,17.945,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,17.945,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,17.945,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85,-4.85
Bet Total,,,-0.0009999999999994458,-0.0009999999999994458,-0.0009999999999994458,-0.0009999999999994458,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-0.0009999999999994458,22.794,-0.0009999999999994458,0.05000000000002025,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-0.0009999999999994458,-0.0009999999999994458,0.015000000000007674,0.1000000000000032,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-0.0009999999999994458,-0.04000000000001158,0.1000000000000032,-0.2049999999999983,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-77.20499999999998,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-77.20499999999998,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999,-99.99999999999999
